Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
batch,ns55,0,1215,1493998982,210857,69.660000,1393.200000,407980,3457876,2,10.193212,0.019447
batch,ns55,0,1220,1493998987,219529,66.150000,1323.000000,407980,3457876,2,9.093638,0.000000
batch,ns55,0,1225,1493998992,228020,65.580000,1311.600000,407980,3457876,2,9.111330,0.000000
batch,ns55,0,1230,1493998997,1559,64.840000,1296.800000,407980,3457876,2,8.920370,0.000000
batch,ns55,0,1235,1493999002,10761,65.140000,1302.800000,407980,3457876,2,8.938147,0.000000
batch,ns55,0,1240,1493999007,19899,65.000000,1300.000000,407980,3457880,2,8.917052,0.000000
batch,ns55,0,1245,1493999012,28831,64.850000,1297.000000,407980,3457876,2,8.915984,0.000000
batch,ns55,0,1250,1493999017,37703,64.460000,1289.200000,407980,3457876,2,8.951016,0.000000
batch,ns55,0,1255,1493999022,46512,64.490000,1289.800000,407980,3457880,2,8.911729,0.000000
batch,ns55,0,1260,1493999027,55123,63.920000,1278.400000,407980,3457876,2,8.842907,0.000000
batch,ns55,0,1265,1493999032,63813,64.600000,1292.000000,407980,3457876,2,8.894604,0.000000
batch,ns55,0,1270,1493999037,72307,63.950000,1279.000000,407980,3457876,2,8.898449,0.000000
batch,ns55,0,1275,1493999042,80876,64.090000,1281.800000,407984,3457880,2,8.930037,0.000000
batch,ns55,0,1280,1493999047,89392,64.000000,1280.000000,407980,3457876,2,8.905426,0.000000
batch,ns55,0,1285,1493999052,97849,64.580000,1291.600000,407980,3457876,2,8.972132,0.000000
batch,ns55,0,1290,1493999057,106251,64.250000,1285.000000,407980,3457876,2,8.941135,0.000000
batch,ns55,0,1295,1493999062,114460,63.900000,1278.000000,407980,3457876,2,8.937855,0.000000
batch,ns55,0,1300,1493999067,122614,63.860000,1277.200000,407980,3457876,2,8.916040,0.000000
batch,ns55,0,1305,1493999072,130849,64.080000,1281.600000,407980,3457876,2,8.969920,0.000000
batch,ns55,0,1310,1493999077,138895,63.900000,1278.000000,407980,3457876,2,8.938130,0.000000
batch,ns55,0,1315,1493999082,146888,63.750000,1275.000000,407980,3457876,2,8.899928,0.000000
batch,ns55,0,1320,1493999087,154828,63.930000,1278.600000,407980,3457876,2,8.918535,0.000000
batch,ns55,0,1325,1493999092,161091,50.910000,1018.200000,407980,3457876,2,7.153201,0.000000
batch,ns55,0,1330,1493999097,168938,63.820000,1276.400000,407980,3457876,2,8.929300,0.000000
